instrument_id,name,musical_key
1,Saxophone,f
2,Guitar,a
3,Harp,d
4,Harp,f
5,Guitar,e
6,Bass guitar,e
7,Saxophone,d
8,Violin,g
9,Bass guitar,b-flat
10,Violin,b-flat
11,Piano,d
12,Harp,c
13,Drums,g
14,Bass guitar,e
15,Flute,c
16,Bass guitar,b-flat
17,Guitar,e
18,Trumpet,f
19,Drums,e
20,Clarinet,d
21,Piano,f
22,Flute,f
23,Flute,c
24,Harp,f
25,Harp,a
26,Drums,g
27,Flute,d
28,Violin,b-flat
29,Violin,e
30,Trumpet,d
31,Saxophone,b-flat
32,Harp,g
33,Flute,c
34,Violin,b-flat
35,Drums,b-flat
36,Violin,e
37,Piano,b-flat
38,Piano,g
39,Clarinet,c
40,Piano,a
41,Drums,f
42,Flute,a
43,Bass guitar,b-flat
44,Saxophone,c
45,Harp,b-flat
46,Trumpet,d
47,Trumpet,g
48,Guitar,a
49,Violin,a
50,Bass guitar,e
51,Saxophone,e
52,Piano,b-flat
53,Saxophone,b-flat
54,Guitar,d
55,Clarinet,f
56,Clarinet,d
57,Guitar,g
58,Guitar,g
59,Harp,d
60,Violin,d
61,Violin,e
62,Piano,e
63,Bass guitar,g
64,Violin,d
65,Guitar,d
66,Bass guitar,d
67,Flute,a
68,Trumpet,e
69,Violin,a
70,Flute,a
71,Harp,e
72,Clarinet,d
73,Guitar,b-flat
74,Harp,a
75,Guitar,c
76,Bass guitar,e
77,Clarinet,d
78,Guitar,e
79,Bass guitar,d
80,Saxophone,c
81,Clarinet,e
82,Saxophone,b-flat
83,Clarinet,a
84,Bass guitar,a
85,Harp,a
86,Bass guitar,g
87,Saxophone,e
88,Harp,c
89,Violin,f
90,Harp,f
91,Flute,e
92,Drums,d
93,Guitar,b-flat
94,Trumpet,g
95,Flute,c
96,Trumpet,e
97,Flute,e
98,Clarinet,f
99,Saxophone,g
100,Saxophone,g
101,Flute,c
102,Saxophone,a
103,Trumpet,c
104,Drums,a
105,Flute,b-flat
106,Flute,e
107,Flute,f
108,Flute,d
109,Saxophone,c
110,Trumpet,d
111,Trumpet,b-flat
112,Trumpet,a
113,Guitar,c
114,Piano,b-flat
115,Flute,a
116,Drums,f
117,Bass guitar,e
118,Guitar,c
119,Drums,f
120,Harp,f
121,Clarinet,g
122,Violin,a
123,Clarinet,g
124,Drums,g
125,Flute,e
126,Saxophone,c
127,Flute,f
128,Violin,d
129,Harp,a
130,Harp,a
131,Piano,a
132,Bass guitar,d
133,Flute,c
134,Drums,c
135,Violin,e
136,Clarinet,c
137,Bass guitar,b-flat
138,Piano,a
139,Piano,a
140,Harp,a
141,Trumpet,g
142,Harp,f
143,Saxophone,c
144,Clarinet,c
145,Violin,g
146,Guitar,b-flat
147,Drums,e
148,Guitar,d
149,Flute,c
150,Saxophone,e
151,Trumpet,c
152,Saxophone,a
153,Drums,a
154,Bass guitar,g
155,Harp,f
156,Trumpet,c
157,Drums,a
158,Guitar,e
159,Clarinet,g
160,Flute,f
161,Piano,b-flat
162,Drums,e
163,Clarinet,d
164,Clarinet,g
165,Flute,g
166,Clarinet,a
167,Guitar,b-flat
168,Trumpet,e
169,Saxophone,g
170,Drums,d
171,Piano,b-flat
172,Trumpet,c
173,Drums,c
174,Violin,e
175,Flute,d
176,Violin,e
177,Bass guitar,f
178,Flute,c
179,Bass guitar,c
180,Harp,e
181,Trumpet,d
182,Drums,e
183,Saxophone,d
184,Harp,g
185,Trumpet,d
186,Drums,a
187,Piano,b-flat
188,Harp,b-flat
189,Violin,a
190,Violin,b-flat
191,Violin,f
192,Trumpet,d
193,Piano,a
194,Bass guitar,b-flat
195,Harp,b-flat
196,Clarinet,b-flat
197,Flute,e
198,Flute,g
199,Violin,g
200,Piano,b-flat
201,Piano,g
202,Guitar,a
203,Trumpet,a
204,Harp,f
205,Harp,c
206,Clarinet,e
207,Guitar,f
208,Violin,d
209,Flute,f
210,Harp,c
211,Guitar,g
212,Drums,a
213,Clarinet,b-flat
214,Guitar,b-flat
215,Trumpet,b-flat
216,Violin,a
217,Harp,d
218,Guitar,b-flat
219,Saxophone,f
220,Clarinet,g
221,Trumpet,a
222,Harp,c
223,Drums,g
224,Violin,b-flat
225,Saxophone,g
226,Piano,f
227,Violin,b-flat
228,Saxophone,f
229,Saxophone,e
230,Piano,g
231,Harp,f
232,Guitar,d
233,Clarinet,a
234,Drums,f
235,Drums,e
236,Piano,d
237,Guitar,c
238,Saxophone,b-flat
239,Trumpet,d
240,Clarinet,g
241,Clarinet,g
242,Clarinet,c
243,Flute,c
244,Drums,c
245,Drums,g
246,Guitar,e
247,Trumpet,a
248,Harp,e
249,Clarinet,d
250,Guitar,g
251,Violin,d
252,Piano,f
253,Saxophone,g
254,Trumpet,b-flat
255,Harp,d
256,Guitar,e
257,Guitar,f
258,Flute,f
259,Trumpet,d
260,Guitar,b-flat
261,Piano,g
262,Drums,b-flat
263,Drums,g
264,Violin,c
265,Piano,f
266,Trumpet,c
267,Clarinet,b-flat
268,Harp,e
269,Harp,b-flat
270,Piano,f
271,Guitar,b-flat
272,Saxophone,f
273,Bass guitar,f
274,Violin,g
275,Bass guitar,d
276,Bass guitar,c
277,Flute,a
278,Flute,b-flat
279,Trumpet,c
280,Trumpet,d
281,Flute,g
282,Trumpet,d
283,Guitar,a
284,Violin,g
285,Saxophone,f
286,Violin,g
287,Bass guitar,c
288,Flute,g
289,Piano,d
290,Drums,b-flat
291,Flute,a
292,Harp,b-flat
293,Harp,f
294,Drums,b-flat
295,Saxophone,c
296,Violin,d
297,Drums,d
298,Guitar,e
299,Piano,c
300,Saxophone,a
301,Guitar,f
302,Flute,f
303,Bass guitar,f
304,Flute,g
305,Drums,e
306,Flute,g
307,Piano,e
308,Harp,f
309,Harp,g
310,Bass guitar,b-flat
311,Guitar,g
312,Trumpet,b-flat
313,Drums,d
314,Saxophone,e
315,Clarinet,f
316,Clarinet,e
317,Flute,f
318,Guitar,e
319,Bass guitar,f
320,Drums,d
321,Drums,d
322,Saxophone,b-flat
323,Clarinet,b-flat
324,Violin,g
325,Bass guitar,g
326,Saxophone,e
327,Saxophone,e
328,Harp,c
329,Guitar,g
330,Trumpet,f
331,Piano,f
332,Piano,c
333,Trumpet,d
334,Clarinet,a
335,Violin,c
336,Guitar,b-flat
337,Drums,b-flat
338,Piano,g
339,Clarinet,f
340,Drums,c
341,Flute,b-flat
342,Guitar,e
343,Flute,g
344,Piano,g
345,Violin,a
346,Trumpet,a
347,Guitar,a
348,Drums,f
349,Drums,g
350,Clarinet,d
351,Piano,f
352,Clarinet,d
353,Trumpet,d
354,Harp,b-flat
355,Violin,g
356,Drums,a
357,Piano,f
358,Trumpet,g
359,Saxophone,b-flat
360,Piano,g
361,Piano,c
362,Flute,a
363,Piano,e
364,Saxophone,g
365,Trumpet,d
366,Harp,g
367,Piano,d
368,Bass guitar,c
369,Trumpet,d
370,Clarinet,e
371,Clarinet,f
372,Guitar,e
373,Bass guitar,d
374,Bass guitar,a
375,Trumpet,c
376,Violin,c
377,Drums,c
378,Guitar,a
379,Piano,e
380,Harp,e
381,Trumpet,e
382,Drums,a
383,Clarinet,c
384,Saxophone,b-flat
385,Trumpet,a
386,Trumpet,d
387,Trumpet,g
388,Trumpet,f
389,Piano,a
390,Piano,d
391,Harp,e
392,Guitar,b-flat
393,Guitar,a
394,Harp,g
395,Guitar,e
396,Bass guitar,e
397,Flute,a
398,Piano,g
399,Violin,g
400,Harp,f
401,Drums,g
402,Violin,a
403,Trumpet,a
404,Trumpet,b-flat
405,Harp,b-flat
406,Clarinet,f
407,Saxophone,f
408,Harp,f
409,Piano,e
410,Violin,f
411,Clarinet,e
412,Saxophone,c
413,Trumpet,c
414,Harp,g
415,Trumpet,e
416,Clarinet,a
417,Piano,f
418,Saxophone,c
419,Harp,d
420,Bass guitar,f
421,Guitar,b-flat
422,Piano,g
423,Saxophone,d
424,Harp,g
425,Drums,a
426,Clarinet,a
427,Saxophone,c
428,Flute,g
429,Saxophone,g
430,Piano,g
431,Piano,f
432,Bass guitar,b-flat
433,Piano,a
434,Violin,a
435,Guitar,a
436,Violin,d
437,Bass guitar,g
438,Harp,e
439,Violin,e
440,Drums,f
441,Violin,a
442,Violin,c
443,Flute,b-flat
444,Harp,a
445,Clarinet,c
446,Saxophone,d
447,Trumpet,f
448,Bass guitar,b-flat
449,Guitar,b-flat
450,Drums,a
451,Guitar,g
452,Trumpet,f
453,Violin,d
454,Saxophone,g
455,Bass guitar,c
456,Flute,g
457,Flute,f
458,Saxophone,c
459,Harp,d
460,Piano,c
461,Trumpet,e
462,Trumpet,e
463,Bass guitar,c
464,Flute,a
465,Clarinet,c
466,Drums,f
467,Trumpet,c
468,Piano,c
469,Clarinet,g
470,Flute,a
471,Drums,c
472,Trumpet,c
473,Flute,b-flat
474,Piano,e
475,Bass guitar,d
476,Drums,c
477,Violin,e
478,Drums,e
479,Trumpet,b-flat
480,Piano,b-flat
481,Trumpet,b-flat
482,Saxophone,c
483,Drums,e
484,Bass guitar,b-flat
485,Bass guitar,g
486,Flute,e
487,Piano,d
488,Clarinet,a
489,Guitar,f
490,Violin,g
491,Trumpet,g
492,Guitar,e
493,Guitar,a
494,Saxophone,b-flat
495,Clarinet,d
496,Piano,e
497,Bass guitar,d
498,Bass guitar,d
499,Bass guitar,d
500,Flute,f
501,Trumpet,b-flat
502,Harp,d
503,Flute,a
504,Flute,d
505,Flute,b-flat
506,Clarinet,c
507,Saxophone,b-flat
508,Clarinet,b-flat
509,Clarinet,g
510,Harp,b-flat
511,Bass guitar,d
512,Bass guitar,a
513,Flute,c
514,Clarinet,f
515,Bass guitar,a
516,Saxophone,b-flat
517,Drums,g
518,Bass guitar,c
519,Violin,f
520,Violin,c
521,Piano,e
522,Bass guitar,g
523,Piano,c
524,Harp,f
525,Guitar,e
526,Harp,b-flat
527,Harp,g
528,Flute,c
529,Trumpet,g
530,Clarinet,c
531,Harp,f
532,Violin,e
533,Clarinet,g
534,Piano,a
535,Bass guitar,b-flat
536,Harp,c
537,Harp,d
538,Trumpet,a
539,Bass guitar,g
540,Trumpet,a
541,Saxophone,g
542,Saxophone,a
543,Harp,f
544,Trumpet,b-flat
545,Piano,g
546,Drums,f
547,Trumpet,f
548,Violin,e
549,Flute,g
550,Drums,f
551,Trumpet,g
552,Piano,b-flat
553,Saxophone,c
554,Trumpet,d
555,Drums,e
556,Flute,g
557,Piano,f
558,Violin,f
559,Guitar,a
560,Harp,c
561,Flute,f
562,Harp,g
563,Clarinet,a
564,Drums,c
565,Bass guitar,d
566,Drums,a
567,Flute,a
568,Trumpet,b-flat
569,Violin,g
570,Clarinet,a
571,Guitar,e
572,Violin,b-flat
573,Guitar,g
574,Clarinet,c
575,Drums,c
576,Guitar,a
577,Flute,f
578,Saxophone,d
579,Guitar,f
580,Drums,a
581,Piano,a
582,Harp,f
583,Trumpet,d
584,Drums,g
585,Saxophone,f
586,Piano,e
587,Harp,a
588,Violin,e
589,Bass guitar,f
590,Guitar,f
591,Flute,d
592,Trumpet,e
593,Guitar,g
594,Violin,a
595,Clarinet,f
596,Bass guitar,d
597,Violin,g
598,Bass guitar,e
599,Bass guitar,d
600,Bass guitar,b-flat
601,Drums,e
602,Saxophone,b-flat
603,Harp,g
604,Clarinet,f
605,Harp,e
606,Violin,g
607,Trumpet,f
608,Flute,e
609,Saxophone,e
610,Guitar,e
611,Flute,f
612,Drums,c
613,Bass guitar,c
614,Violin,g
615,Drums,g
616,Drums,c
617,Clarinet,a
618,Drums,c
619,Violin,d
620,Flute,e
621,Trumpet,e
622,Flute,g
623,Flute,g
624,Harp,e
625,Guitar,a
626,Saxophone,g
627,Bass guitar,b-flat
628,Flute,f
629,Bass guitar,g
630,Clarinet,g
631,Violin,a
632,Saxophone,f
633,Drums,f
634,Bass guitar,d
635,Drums,g
636,Drums,a
637,Trumpet,f
638,Saxophone,a
639,Trumpet,e
640,Flute,a
641,Piano,g
642,Piano,a
643,Flute,b-flat
644,Saxophone,f
645,Bass guitar,c
646,Saxophone,e
647,Harp,g
648,Piano,f
649,Guitar,g
650,Piano,d
651,Flute,e
652,Harp,a
653,Guitar,a
654,Clarinet,d
655,Piano,c
656,Saxophone,b-flat
657,Trumpet,a
658,Saxophone,a
659,Harp,a
660,Flute,e
661,Harp,g
662,Piano,a
663,Flute,c
664,Flute,a
665,Trumpet,a
666,Guitar,f
667,Piano,a
668,Piano,e
669,Clarinet,e
670,Trumpet,c
671,Saxophone,b-flat
672,Violin,f
673,Saxophone,f
674,Flute,c
675,Clarinet,b-flat
676,Guitar,f
677,Saxophone,b-flat
678,Harp,f
679,Trumpet,e
680,Clarinet,b-flat
681,Flute,g
682,Harp,d
683,Drums,d
684,Drums,d
685,Clarinet,f
686,Harp,e
687,Piano,a
688,Drums,c
689,Harp,a
690,Harp,c
691,Piano,g
692,Violin,a
693,Bass guitar,g
694,Drums,c
695,Piano,g
696,Clarinet,c
697,Guitar,c
698,Drums,f
699,Bass guitar,f
700,Clarinet,a
701,Guitar,g
702,Bass guitar,g
703,Harp,g
704,Trumpet,a
705,Saxophone,c
706,Bass guitar,e
707,Clarinet,f
708,Clarinet,c
709,Drums,g
710,Guitar,a
711,Drums,g
712,Flute,c
713,Harp,a
714,Piano,g
715,Clarinet,g
716,Bass guitar,d
717,Flute,g
718,Guitar,a
719,Violin,c
720,Drums,e
721,Clarinet,b-flat
722,Flute,e
723,Flute,b-flat
724,Saxophone,e
725,Clarinet,f
726,Guitar,d
727,Violin,b-flat
728,Harp,d
729,Guitar,a
730,Violin,a
731,Violin,a
732,Bass guitar,e
733,Clarinet,g
734,Violin,a
735,Drums,g
736,Violin,g
737,Harp,c
738,Piano,a
739,Saxophone,g
740,Harp,f
741,Piano,c
742,Trumpet,a
743,Harp,b-flat
744,Guitar,b-flat
745,Saxophone,d
746,Trumpet,b-flat
747,Trumpet,g
748,Bass guitar,c
749,Guitar,e
750,Drums,g
751,Bass guitar,e
752,Trumpet,g
753,Trumpet,a
754,Guitar,b-flat
755,Guitar,b-flat
756,Saxophone,a
757,Piano,f
758,Piano,c
759,Drums,d
760,Clarinet,a
761,Harp,a
762,Guitar,a
763,Harp,e
764,Saxophone,a
765,Harp,e
766,Drums,a
767,Drums,f
768,Harp,e
769,Saxophone,g
770,Violin,b-flat
771,Clarinet,f
772,Saxophone,b-flat
773,Piano,c
774,Trumpet,f
775,Piano,b-flat
776,Violin,a
777,Saxophone,c
778,Guitar,f
779,Bass guitar,f
780,Guitar,f
781,Drums,b-flat
782,Saxophone,a
783,Bass guitar,d
784,Harp,d
785,Piano,f
786,Guitar,e
787,Piano,d
788,Bass guitar,b-flat
789,Harp,g
790,Violin,d
791,Guitar,e
792,Drums,g
793,Trumpet,e
794,Saxophone,e
795,Harp,e
796,Piano,e
797,Guitar,d
798,Flute,a
799,Clarinet,c
800,Drums,c
801,Clarinet,f
802,Guitar,b-flat
803,Harp,e
804,Flute,b-flat
805,Drums,d
806,Bass guitar,d
807,Saxophone,c
808,Guitar,f
809,Guitar,e
810,Clarinet,b-flat
811,Clarinet,b-flat
812,Violin,f
813,Guitar,f
814,Bass guitar,c
815,Trumpet,e
816,Guitar,b-flat
817,Trumpet,c
818,Trumpet,b-flat
819,Harp,a
820,Piano,g
821,Trumpet,d
822,Guitar,e
823,Bass guitar,g
824,Trumpet,g
825,Bass guitar,f
826,Saxophone,a
827,Drums,c
828,Drums,a
829,Saxophone,f
830,Flute,e
831,Piano,a
832,Bass guitar,e
833,Saxophone,g
834,Drums,b-flat
835,Piano,d
836,Violin,e
837,Drums,d
838,Piano,g
839,Trumpet,a
840,Flute,g
841,Bass guitar,f
842,Violin,g
843,Bass guitar,f
844,Saxophone,c
845,Flute,f
846,Harp,d
847,Guitar,g
848,Violin,c
849,Flute,a
850,Trumpet,c
851,Harp,c
852,Guitar,a
853,Drums,e
854,Drums,g
855,Trumpet,b-flat
856,Drums,g
857,Flute,b-flat
858,Clarinet,e
859,Harp,e
860,Bass guitar,d
861,Flute,d
862,Trumpet,b-flat
863,Trumpet,e
864,Guitar,a
865,Piano,g
866,Piano,a
867,Guitar,e
868,Trumpet,a
869,Trumpet,c
870,Piano,a
871,Clarinet,a
872,Drums,e
873,Drums,b-flat
874,Flute,a
875,Flute,b-flat
876,Guitar,e
877,Drums,f
878,Trumpet,b-flat
879,Flute,b-flat
880,Flute,c
881,Drums,f
882,Clarinet,f
883,Clarinet,c
884,Saxophone,c
885,Guitar,e
886,Trumpet,d
887,Trumpet,c
888,Piano,d
889,Drums,e
890,Saxophone,e
891,Violin,d
892,Flute,e
893,Flute,g
894,Clarinet,f
895,Violin,a
896,Clarinet,d
897,Clarinet,c
898,Trumpet,a
899,Guitar,g
900,Piano,c
901,Harp,g
902,Harp,g
903,Clarinet,b-flat
904,Drums,c
905,Guitar,g
906,Flute,e
907,Harp,a
908,Piano,b-flat
909,Harp,a
910,Saxophone,b-flat
911,Bass guitar,g
912,Flute,c
913,Drums,e
914,Drums,c
915,Bass guitar,a
916,Trumpet,f
917,Violin,b-flat
918,Guitar,a
919,Piano,a
920,Saxophone,c
921,Clarinet,c
922,Harp,g
923,Harp,b-flat
924,Saxophone,e
925,Violin,b-flat
926,Violin,e
927,Clarinet,a
928,Violin,c
929,Guitar,f
930,Clarinet,f
931,Harp,g
932,Violin,c
933,Guitar,g
934,Piano,b-flat
935,Violin,e
936,Harp,a
937,Drums,b-flat
938,Saxophone,c
939,Violin,e
940,Violin,f
941,Drums,b-flat
942,Piano,d
943,Trumpet,f
944,Clarinet,f
945,Bass guitar,f
946,Harp,d
947,Clarinet,c
948,Harp,f
949,Guitar,f
950,Bass guitar,f
951,Saxophone,b-flat
952,Bass guitar,d
953,Drums,g
954,Piano,a
955,Violin,b-flat
956,Drums,f
957,Clarinet,a
958,Drums,d
959,Drums,b-flat
960,Clarinet,d
961,Trumpet,d
962,Saxophone,e
963,Piano,a
964,Drums,d
965,Piano,a
966,Bass guitar,g
967,Bass guitar,c
968,Violin,c
969,Bass guitar,f
970,Violin,a
971,Harp,f
972,Flute,b-flat
973,Saxophone,c
974,Flute,f
975,Flute,f
976,Trumpet,a
977,Violin,c
978,Guitar,a
979,Piano,c
980,Clarinet,d
981,Harp,c
982,Drums,e
983,Saxophone,a
984,Violin,c
985,Clarinet,d
986,Drums,b-flat
987,Piano,g
988,Bass guitar,d
989,Bass guitar,e
990,Saxophone,g
991,Piano,b-flat
992,Trumpet,c
993,Bass guitar,c
994,Bass guitar,e
995,Clarinet,d
996,Guitar,d
997,Bass guitar,f
998,Flute,e
999,Flute,c
1000,Clarinet,g
